algorithm,time
bubbleSort,139627
insertionSort,31917
selectionSort,61836
mergeSort,2993
gnomeSort,99733
quickSort,997
heapSort,1994

bubbleSort,143614
insertionSort,30918
selectionSort,60854
mergeSort,1997
gnomeSort,96741
quickSort,1000
heapSort,997

bubbleSort,143616
insertionSort,32931
selectionSort,61829
mergeSort,997
gnomeSort,96743
quickSort,1995
heapSort,1995

bubbleSort,141622
insertionSort,31914
selectionSort,61837
mergeSort,1997
gnomeSort,96744
quickSort,998
heapSort,1995

bubbleSort,143657
insertionSort,32915
selectionSort,60840
mergeSort,1000
gnomeSort,97778
quickSort,1000
heapSort,1994

bubbleSort,239361
insertionSort,53857
selectionSort,103723
mergeSort,1994
gnomeSort,166557
quickSort,998
heapSort,2992

bubbleSort,142620
insertionSort,31915
selectionSort,61836
mergeSort,997
gnomeSort,96742
quickSort,1000
heapSort,998

bubbleSort,144613
insertionSort,30917
selectionSort,60865
mergeSort,1994
gnomeSort,97740
quickSort,999
heapSort,997

bubbleSort,140624
insertionSort,41888
selectionSort,67819
mergeSort,1995
gnomeSort,107712
quickSort,998
heapSort,982

bubbleSort,143616
insertionSort,32913
selectionSort,62835
mergeSort,1982
gnomeSort,105736
quickSort,999
heapSort,997

bubbleSort,143603
insertionSort,31916
selectionSort,62833
mergeSort,1996
gnomeSort,100731
quickSort,0
heapSort,998

bubbleSort,150598
insertionSort,37898
selectionSort,66821
mergeSort,1996
gnomeSort,109706
quickSort,0
heapSort,998

bubbleSort,140624
insertionSort,31915
selectionSort,61837
mergeSort,1996
gnomeSort,97739
quickSort,987
heapSort,1994

bubbleSort,149598
insertionSort,32910
selectionSort,62832
mergeSort,1995
gnomeSort,100730
quickSort,997
heapSort,1995

bubbleSort,144614
insertionSort,40890
selectionSort,65823
mergeSort,1994
gnomeSort,109706
quickSort,0
heapSort,998

bubbleSort,146608
insertionSort,32911
selectionSort,71807
mergeSort,997
gnomeSort,100732
quickSort,1000
heapSort,998

bubbleSort,139628
insertionSort,31931
selectionSort,60837
mergeSort,1996
gnomeSort,96742
quickSort,997
heapSort,1995

bubbleSort,143616
insertionSort,31915
selectionSort,60838
mergeSort,998
gnomeSort,96742
quickSort,1000
heapSort,1994

bubbleSort,154587
insertionSort,35904
selectionSort,64826
mergeSort,1995
gnomeSort,105718
quickSort,997
heapSort,998

bubbleSort,142619
insertionSort,31914
selectionSort,60838
mergeSort,999
gnomeSort,98757
quickSort,999
heapSort,998

bubbleSort,140623
insertionSort,31895
selectionSort,63830
mergeSort,1994
gnomeSort,106716
quickSort,1006
heapSort,988

bubbleSort,139627
insertionSort,30918
selectionSort,61837
mergeSort,1996
gnomeSort,97833
quickSort,1000
heapSort,1994

bubbleSort,141620
insertionSort,31915
selectionSort,61838
mergeSort,1994
gnomeSort,96745
quickSort,1000
heapSort,2000

bubbleSort,139627
insertionSort,30918
selectionSort,61838
mergeSort,998
gnomeSort,97739
quickSort,997
heapSort,998

bubbleSort,143615
insertionSort,40892
selectionSort,67806
mergeSort,1994
gnomeSort,108709
quickSort,997
heapSort,2006

bubbleSort,142618
insertionSort,30917
selectionSort,61835
mergeSort,1993
gnomeSort,98736
quickSort,0
heapSort,997

bubbleSort,141621
insertionSort,30915
selectionSort,60837
mergeSort,1997
gnomeSort,96742
quickSort,997
heapSort,1995

bubbleSort,139614
insertionSort,31914
selectionSort,63830
mergeSort,1982
gnomeSort,106713
quickSort,1001
heapSort,997

bubbleSort,139626
insertionSort,30920
selectionSort,62832
mergeSort,999
gnomeSort,96751
quickSort,1001
heapSort,996

bubbleSort,142619
insertionSort,32912
selectionSort,62831
mergeSort,1995
gnomeSort,98736
quickSort,997
heapSort,1994

bubbleSort,144644
insertionSort,31915
selectionSort,62836
mergeSort,1994
gnomeSort,96742
quickSort,1000
heapSort,1994

bubbleSort,140660
insertionSort,31915
selectionSort,60848
mergeSort,1995
gnomeSort,97739
quickSort,1000
heapSort,997

bubbleSort,143654
insertionSort,31918
selectionSort,61834
mergeSort,1994
gnomeSort,98737
quickSort,0
heapSort,997

bubbleSort,148604
insertionSort,32912
selectionSort,67820
mergeSort,1993
gnomeSort,107713
quickSort,998
heapSort,996

bubbleSort,139625
insertionSort,30943
selectionSort,61835
mergeSort,1996
gnomeSort,96743
quickSort,997
heapSort,1995

bubbleSort,145610
insertionSort,30917
selectionSort,60819
mergeSort,1997
gnomeSort,96741
quickSort,998
heapSort,997

bubbleSort,142619
insertionSort,31915
selectionSort,63830
mergeSort,1997
gnomeSort,101728
quickSort,989
heapSort,998

bubbleSort,151593
insertionSort,32910
selectionSort,66822
mergeSort,1996
gnomeSort,106713
quickSort,998
heapSort,1994

bubbleSort,157578
insertionSort,38895
selectionSort,64827
mergeSort,1993
gnomeSort,108710
quickSort,998
heapSort,1994

bubbleSort,142652
insertionSort,32914
selectionSort,60837
mergeSort,1994
gnomeSort,97740
quickSort,0
heapSort,997

bubbleSort,145579
insertionSort,31916
selectionSort,63828
mergeSort,1997
gnomeSort,100730
quickSort,994
heapSort,1997

bubbleSort,138629
insertionSort,31915
selectionSort,60834
mergeSort,998
gnomeSort,98754
quickSort,999
heapSort,1995

bubbleSort,156581
insertionSort,34907
selectionSort,67820
mergeSort,1995
gnomeSort,108708
quickSort,0
heapSort,998

bubbleSort,145613
insertionSort,31915
selectionSort,62834
mergeSort,1997
gnomeSort,100731
quickSort,0
heapSort,998

bubbleSort,146608
insertionSort,31914
selectionSort,62845
mergeSort,1995
gnomeSort,97739
quickSort,0
heapSort,998

bubbleSort,150598
insertionSort,38895
selectionSort,63829
mergeSort,1995
gnomeSort,106715
quickSort,997
heapSort,997

bubbleSort,145627
insertionSort,33910
selectionSort,64818
mergeSort,1989
gnomeSort,104721
quickSort,998
heapSort,997

bubbleSort,149600
insertionSort,35904
selectionSort,63829
mergeSort,1996
gnomeSort,107712
quickSort,999
heapSort,1993

bubbleSort,147607
insertionSort,33909
selectionSort,62830
mergeSort,997
gnomeSort,102280
quickSort,999
heapSort,997

bubbleSort,148606
insertionSort,33899
selectionSort,62818
mergeSort,1994
gnomeSort,98737
quickSort,997
heapSort,1994

bubbleSort,151592
insertionSort,33909
selectionSort,64827
mergeSort,1995
gnomeSort,103723
quickSort,998
heapSort,998

bubbleSort,151594
insertionSort,32907
selectionSort,65811
mergeSort,1994
gnomeSort,105717
quickSort,996
heapSort,997

bubbleSort,149601
insertionSort,35190
selectionSort,62833
mergeSort,1995
gnomeSort,101234
quickSort,999
heapSort,984

bubbleSort,150598
insertionSort,33911
selectionSort,62833
mergeSort,1996
gnomeSort,100758
quickSort,997
heapSort,997

bubbleSort,145609
insertionSort,32911
selectionSort,63831
mergeSort,1993
gnomeSort,98177
quickSort,997
heapSort,997

bubbleSort,157578
insertionSort,33902
selectionSort,64829
mergeSort,1994
gnomeSort,100731
quickSort,997
heapSort,1994

bubbleSort,150596
insertionSort,35904
selectionSort,64827
mergeSort,1994
gnomeSort,101728
quickSort,998
heapSort,997

bubbleSort,151594
insertionSort,32911
selectionSort,63830
mergeSort,996
gnomeSort,103723
quickSort,997
heapSort,997

bubbleSort,144617
insertionSort,30918
selectionSort,63816
mergeSort,1979
gnomeSort,96745
quickSort,997
heapSort,997

bubbleSort,154862
insertionSort,33907
selectionSort,61835
mergeSort,998
gnomeSort,97766
quickSort,997
heapSort,997

bubbleSort,154586
insertionSort,32911
selectionSort,63828
mergeSort,1994
gnomeSort,107713
quickSort,998
heapSort,997

bubbleSort,146424
insertionSort,31901
selectionSort,60301
mergeSort,2003
gnomeSort,97248
quickSort,999
heapSort,1994

bubbleSort,148606
insertionSort,33418
selectionSort,63831
mergeSort,1993
gnomeSort,101180
quickSort,998
heapSort,1994

bubbleSort,152575
insertionSort,32912
selectionSort,62832
mergeSort,2002
gnomeSort,102717
quickSort,997
heapSort,1995

bubbleSort,150598
insertionSort,31424
selectionSort,70811
mergeSort,6980
gnomeSort,110222
quickSort,985
heapSort,997

bubbleSort,156582
insertionSort,32843
selectionSort,67807
mergeSort,2992
gnomeSort,109707
quickSort,997
heapSort,998

bubbleSort,149100
insertionSort,32913
selectionSort,64826
mergeSort,1994
gnomeSort,103723
quickSort,998
heapSort,998

bubbleSort,151594
insertionSort,33909
selectionSort,64827
mergeSort,1995
gnomeSort,98737
quickSort,1062
heapSort,998

bubbleSort,167551
insertionSort,41890
selectionSort,65824
mergeSort,1994
gnomeSort,106714
quickSort,998
heapSort,1994

bubbleSort,154586
insertionSort,34735
selectionSort,64826
mergeSort,1995
gnomeSort,104720
quickSort,998
heapSort,997

bubbleSort,146868
insertionSort,32912
selectionSort,63829
mergeSort,1976
gnomeSort,104719
quickSort,989
heapSort,1995

bubbleSort,155584
insertionSort,33909
selectionSort,64827
mergeSort,1984
gnomeSort,106716
quickSort,997
heapSort,1993

bubbleSort,146608
insertionSort,33910
selectionSort,62832
mergeSort,1994
gnomeSort,101755
quickSort,997
heapSort,1995

bubbleSort,154587
insertionSort,35905
selectionSort,68815
mergeSort,1995
gnomeSort,112698
quickSort,998
heapSort,1007

bubbleSort,151111
insertionSort,34906
selectionSort,65370
mergeSort,1994
gnomeSort,104313
quickSort,997
heapSort,998

bubbleSort,147366
insertionSort,33831
selectionSort,64826
mergeSort,1994
gnomeSort,103723
quickSort,0
heapSort,997

bubbleSort,145611
insertionSort,32911
selectionSort,62828
mergeSort,1994
gnomeSort,101727
quickSort,987
heapSort,997

bubbleSort,152593
insertionSort,36901
selectionSort,64827
mergeSort,1994
gnomeSort,111702
quickSort,0
heapSort,996

bubbleSort,146117
insertionSort,32915
selectionSort,64826
mergeSort,1995
gnomeSort,101731
quickSort,996
heapSort,1994

bubbleSort,155584
insertionSort,39893
selectionSort,66823
mergeSort,1976
gnomeSort,112699
quickSort,997
heapSort,998

bubbleSort,147585
insertionSort,33908
selectionSort,65826
mergeSort,1995
gnomeSort,101731
quickSort,997
heapSort,1994

bubbleSort,182511
insertionSort,33454
selectionSort,66804
mergeSort,1985
gnomeSort,104237
quickSort,999
heapSort,996

bubbleSort,151594
insertionSort,33908
selectionSort,64808
mergeSort,1995
gnomeSort,104720
quickSort,998
heapSort,997

bubbleSort,148603
insertionSort,32911
selectionSort,63829
mergeSort,1995
gnomeSort,101728
quickSort,996
heapSort,1995

bubbleSort,161078
insertionSort,35904
selectionSort,65826
mergeSort,998
gnomeSort,101731
quickSort,0
heapSort,998

bubbleSort,164563
insertionSort,37899
selectionSort,64827
mergeSort,1982
gnomeSort,107698
quickSort,927
heapSort,998

bubbleSort,149110
insertionSort,33909
selectionSort,65823
mergeSort,1995
gnomeSort,107712
quickSort,997
heapSort,997

bubbleSort,154586
insertionSort,34905
selectionSort,68816
mergeSort,997
gnomeSort,103755
quickSort,0
heapSort,998

bubbleSort,151579
insertionSort,32911
selectionSort,63830
mergeSort,1995
gnomeSort,102739
quickSort,0
heapSort,997

bubbleSort,153747
insertionSort,33903
selectionSort,62315
mergeSort,1994
gnomeSort,102725
quickSort,996
heapSort,1995

bubbleSort,149110
insertionSort,31916
selectionSort,63830
mergeSort,997
gnomeSort,102317
quickSort,996
heapSort,1996

bubbleSort,153589
insertionSort,33450
selectionSort,65824
mergeSort,1995
gnomeSort,104726
quickSort,998
heapSort,997

bubbleSort,150108
insertionSort,35902
selectionSort,65822
mergeSort,1995
gnomeSort,105718
quickSort,998
heapSort,998

bubbleSort,158566
insertionSort,34907
selectionSort,65836
mergeSort,998
gnomeSort,103667
quickSort,0
heapSort,998

bubbleSort,146607
insertionSort,34906
selectionSort,62832
mergeSort,997
gnomeSort,100735
quickSort,998
heapSort,997

bubbleSort,152578
insertionSort,33909
selectionSort,65825
mergeSort,1995
gnomeSort,105717
quickSort,997
heapSort,997

bubbleSort,158580
insertionSort,33909
selectionSort,63829
mergeSort,1994
gnomeSort,100732
quickSort,997
heapSort,997

bubbleSort,154582
insertionSort,34950
selectionSort,63829
mergeSort,997
gnomeSort,103724
quickSort,998
heapSort,1995

bubbleSort,146608
insertionSort,32911
selectionSort,65824
mergeSort,1994
gnomeSort,102741
quickSort,997
heapSort,1994

bubbleSort,149600
insertionSort,35904
selectionSort,64831
mergeSort,996
gnomeSort,99243
quickSort,998
heapSort,1994

bubbleSort,151593
insertionSort,34888
selectionSort,65366
mergeSort,2009
gnomeSort,110229
quickSort,997
heapSort,998
